JO_REQST_NO,CMPNY_NM,JO_SJ,JOBCODE_NM,CAREER_CND_NM,ACDMCR_NM,EMPLYM_STLE_CMMN_MM,HOPE_WAGE,WORK_PARAR_BASS_ADRES_CN,SUBWAY_NM,WORK_TIME_NM,HOLIDAY_NM,WEEK_WORK_HR,RCEPT_CLOS_NM,RCEPT_MTH_NM,PRESENTN_PAPERS_NM,MNGR_PHON_NO,BSNS_SUMRY_CN,DTY_CN,RET_GRANTS_NM,JO_FEINSR_SBSCRB_NM,JO_REG_DT,WELFARE_CN,직무상세성점수,기업소개점수,급여품질점수,복지점수,근무조건점수,출퇴근편의점수,종합점수,등급
H954202607221185,주식회사 은준,(주)은준_시공팀 모집,"전기용접원(아크,알곤,티그용접원)",무관,관계없음,상용직,월급 / 242만원 - 면접 후 협의가능 ,경기 포천시다동,,(근무시간) (오전) 8시 00분 ~ (오후) 5시 00분,주6일근무,40,마감일 (2026-09-21),방문 우편 팩스 고용24 입사지원,이력서   ,031-828-0923,금속제 집기제작,"주식회사 은준 금속업체 알곤 용접원 모집

？？ 주요업무

ㆍ브랜드 인테리어 금속집기 제작

ㆍ알곤 용접 

ㆍ금속집기 제작 경력자 우대 


？？ 자격요건

？ 경력 무관 (신입 지원 가능)

？ 학력무관

ㆍ알곤용접 경력

ㆍ관련 자격증 소지자 우대


？？ 우대사항

ㆍ차량소지자

ㆍ금속업체 근무 경험자

ㆍ관련 자격증 소지자

？？ 근무조건

？ 고용형태 : 정규직

-주 6일(격주 토요일) 근무

？ 급여 : 면접 후 결정

？ 근무지 : 경기 포천시 정교1길 22",퇴직금,고용보험 산재보험 건강보험 국민연금,2026-07-22,,13.0,5.0,20.0,7.4,20.0,7.0,72.4,B
H954202607221380,(주)쉴드인터내셔널,[용답동] 청계SK뷰 상가 청소원 채용,"건물 청소원(공공건물,아파트,사무실,병원,상가,공장 등)",경력,관계없음,계약직(시간제),월급 / 180만원 ,서울 성동구,,"  - 월~금요일 : 09:00~15:30(휴게시간 1시간)
  - 토요일(격주) : 09:00~12:00",주6일근무,29,마감일 (2026-09-21),팩스 고용24 입사지원  ,이력서   ,02-2142-8964,"건물종합관리,주택관리업,인력파견업,시설경비,위생관리용역업,시설물유지관리 및 주차장관리업","* 청계SK뷰 상가 공용부 (화장실, 복도, 계단 등) 청소

* 근무개시일 : 2026. 7월중

* 근무시간 
  - 월~금요일 : 09:00~15:30(휴게시간 1시간)
  - 토요일(격주) : 09:00~12:00

* 급여 : 월 180만원",해당없음,고용보험 산재보험 건강보험 국민연금,2026-07-22,,5.0,5.0,20.0,6.2,20.0,7.0,63.2,C
H954202607220140,(주)배재통상,무역사무직 신입 & 파트타임  모집(영어필수),무역 사무원,무관,관계없음,계약직,월급 / 220만원 - 면접 후 협의가능 ,경기 남양주시,,(근무시간) (오전) 8시 30분 ~ (오후) 5시 30분,주5일근무,40,마감일 (2026-09-21),고용24 입사지원   ,이력서 자기소개서  ,031-560-1965,의류 편직물 제조 수출,"무역업무 신입 모집 (영어가능자)
？
매년 매출 증가와 새로운 시장을 개척하여 확장하는 기업으로
-도전의식이 투철하며 스스로 업무를 주도해나가는 리더십을 갖추신 분
-상호존중 커뮤니케이션 역량이 뛰어나신 분
-영업 및 기획 등 글로벌 마인드를 갖추신 분


모집부문 및 상세내용

공통 자격요건
ㆍ학력 : 고졸 이상
무역 사무직(수출입 가능자)	무역팀 1명(신입 가능 / 파트타임 경력자 가능)

면접 시 급여 책정

지원자격
ㆍ경력 : 신입 / 파트타임 지원 시 경력자

ㆍ기타 필수 사항
- 영어가능자, 컴퓨터활용능력 우수, 해당직무 근무경험, 문서작성 우수자

     - 해외영업 및 무역업무 유경험자

 
     - 해외여행에 결격 사유가 없는 자

우대사항
ㆍ인근거주자
     ㆍ운전가능자

근무조건
ㆍ	근무형태	:	정규직
ㆍ	근무일시	:	주 5일(월~금) 08:30~17:30 / 파트타임 시간 협의
ㆍ	근무지역	:	(472-843) 경기 남양주시 화도읍 재재기로 84
전형절차
서류전형
1차면접
최종합격
접수기간 및 방법
ㆍ	접수기간	:	2026년 07월 22일  ~ 2026년 08월 30일",퇴직연금,고용보험 산재보험 건강보험 국민연금,2026-07-22,,14.5,6.2,20.0,7.4,20.0,7.0,75.1,B
H954202607220976,나무둥지 어린이집,아이들의 성장을 응원하는 따뜻한 마음을 가진 육아 도우미를 모집합니다.,보육 교사,무관,관계없음,상용직,월급 / 216만원 ,경기 고양시709-104,,(근무시간) (오전) 9시 30분 ~ (오후) 6시 30분,주5일근무,40,마감일 (2026-09-21),고용24 입사지원   ,이력서 경력증명서  ,031-920-3943,유아교육,"[모집직무]
육아 도우미(베이비시터), 보육교사, 유치원 교사

[직무소개]
우리 회사는 아이들의 건강한 발달을 지원하기 위해 최선을 다하고 있습니다.  본 직무는 영유아를 돌보고, 교육적인 활동을 제공하여 아이들의 성장과 발달에 도움을 주는 중요한 역할을 수행합니다.

[주요업무]
- 영아의 안전을 책임지고 돌봄을 제공합니다.
- 영유아를 위한 놀이 및 교육 활동 계획 및 실행
- 영아의 식사 및 수면 관리
- 아이들의 성장과 발달을 기록하고 보고
- 부모님과 소통하며 아이의 상태를 공유",퇴직금,고용보험 산재보험 건강보험 국민연금,2026-07-22,,19.0,5.0,20.0,7.4,20.0,7.0,78.4,B
H954202607221051,(주)더지엠에스,아파트 청소원 채용-광명사거리 인근 ,"건물 청소원(공공건물,아파트,사무실,병원,상가,공장 등)",무관,관계없음,계약직(시간제),시급 / 10320원 ,경기 광명시,,(근무시간) (오전) 8시 00분 ~ (오후) 3시 00분,주5일근무,30,마감일 (2026-09-21),방문   ,이력서   ,02-2680-6057,건물관리업,"-아파트 내부 공용공간 청소
-광명사거리 경기항공고등학교 인근
-주5일 8-3시
-급여 161만원
- 문의 반장님 010-3334-2389",퇴직금,고용보험 산재보험 건강보험 국민연금,2026-07-22,,5.0,5.0,18.0,7.4,20.0,7.0,62.4,C
H954202607230381,주식회사 하라엔지니어링,측량업 토목인허가 사원 모집,측량·지리정보 전문가,무관,전문대학,상용직,최소연봉 / 3400만원 ,경기 화성시1동 201호,,(근무시간) (오전) 9시 00분 ~ (오후) 6시 00분,주5일근무,40,마감일 (2026-09-21),팩스 고용24 입사지원  ,이력서 자기소개서 졸업증명서 ,031-290-0821,경영컨설팅업,"토목인허가, 측량업, 부동산 컨설팅 전문업체입니다.

모집인원 : 1명

담당업무 : 토목인허가 관련 업무

연봉 : 면접시 협의 (신입 - 수습기간 3개월)

지원조건 : 운전면허소지(필수), 차량소지 필수, 엑셀 및 한글 등 사무용 기본 프로그램 사용 가능자

우대조건 : CAD 프로그램 사용자, 관련 자격증 보유자

이력서 지원방법 : 채용공고지원 및 이메일, 팩스 지원 가능




본사 : 화성시 팔탄면 시청로 547, 1동 201호(예성빌딩)
메일 : haraenc@naver.com
TEL : 031-366-7323
FAX : 031-366-7107",퇴직금,고용보험 산재보험 건강보험 국민연금,2026-07-23,,14.5,5.0,20.0,7.4,20.0,7.0,73.9,B
H954202607230069,연풍 다함께돌봄센터,연풍 다함께돌봄센터 전일제(8시간) 교사 채용 공고,사회복지사,경력,전문대학,계약직,월급 / 228만원 - 면접 후 협의가능 ,경기 파주시연풍 다함께돌봄센터 ,,(근무시간) (오전) 10시 00분 ~ (오후) 7시 00분,주5일근무,40,마감일 (2026-09-21),   ,이력서 졸업증명서 경력증명서 기타,031-860-0433,돌봄센터,"1. 채용인원 : 돌봄교사1명  (전일제 1명)  

2. 채용방법 : 공개모집
   가. 제1차 : 서류전형 (자격기준 및 경력사항 심사)
   나. 제2차 : 면접전형 (1차 서류 합격자에 한해 개별 연락)
 
3. 근무시작일 : 2026.08. (협의)
 
4. 근무시간 
  돌봄교사 (전일제)- 주 5일 (월~금) 8시간 주40시간 
  학기중 (오전) 10시 00분~(오후) 7시 00분 (휴게1시간포함)
  방학중 (오전) 09시 00분~(오후) 6시 00분 (휴게1시간포함)
 -> 표준 운영시간 외에도 센터내 종사자 및 돌봄아동의 이용시간으로 센터와 협의하여 근무시간이 변동될 수 있음.
              
5. 보수 :  돌봄교사(전일제) 
(2026년 사회복지사 인건비 호봉 기준급여로 책정, 4대보험, 개인부담금포함)
수습 3개월 ,  명절수당 기본급 120%

6. 근무내용: 돌봄교사 - 아동돌봄 및 사업상 필요한 업무 
(출결관리, 생활,안전,귀가지도,프로그램진행,행정, 아동 및 학부모상담 등) 

7. 공고기간 및 접수방법
   가. 공고 및 접수 기간
      2026.07.23(목)  ~ 채용시 까지 
   나. 접수방법 : 메일(yp20250813@hanmail.net)로만 접수
       *제목에는 응시자 이름, 자사 양식이용, 개인정보동의서 부탁드립니다. 
 
8. 기타 자세한 사항은 전화문의 부탁드립니다. 070-4109-6632

*사회복지사 자격증 or 보육교사 자격증 보유자만 지원 가능*",퇴직금,고용보험 산재보험 건강보험 국민연금,2026-07-23,,16.0,5.0,20.0,7.4,20.0,4.0,72.4,B
H954202607220398,화평재가방문요양센터,[마두동] 1등급할머니 재가요양보호사 구인,재가 간병인,경력,관계없음,상용직(시간제),시급 / 10320원 ,경기 고양시,,(근무시간) (오후) 1시 00분 ~ (오후) 4시 00분,주5일근무,15,마감일 (2026-09-21),기타   ,기타   ,031-8075-6817,노인방문요양센터,"[마두동] 1등급할머니 재가요양보호사 구인

/ 식사도움,체위변경,청소,경관식
/ 주5일 (13:00~16:00)
/ 시급: (10,320원+연차수당, 주휴수당 등 제수당 포함=13,300원)
/ 중증수당별도(1일 6,000원)

**실제 서비스제공기간에 따라 임금을 계산하여 지급하는 형태로 채용시 근로자마다 주소정근로시간이나 임금, 근무(예정)지에 등에 따라 차이가 있을수 있음",퇴직금,고용보험 산재보험 건강보험 국민연금,2026-07-22,,10.0,5.0,18.0,7.4,20.0,7.0,67.4,C
H954202607220494,가나노인요양센터,"(샘터마을, 2단지) 독거 2등급 여자 어르신 케어하실 요양보호사님 모십니다.",재가 간병인,경력,관계없음,상용직(시간제),시급 / 10320원 ,경기 고양시,,(근무시간) (오후) 12시 30분 ~ (오후) 4시 30분,주5일근무,20,마감일 (2026-09-21),고용24 입사지원   ,기타   ,031-920-3914,"주간보호, 방문요양","- 일상가사지원(취사, 청소), 산책, 외출동행, 병원동행. 생필품구입.
- 독거 2등급 여자 어르신(자립 보행 가능)
- 1일 4시간(12시30~16시30 ) 근무시간 조정 가능함.
*14,000원 =기본금 10,320+주휴수당2,064+연차수당594+조정수당1,022 
*중증돌봄비 1일 6,000원 지급함.",퇴직금,고용보험 산재보험 건강보험 국민연금,2026-07-22,,6.5,5.0,18.0,7.4,20.0,7.0,63.9,C
H954202607220846,주식회사두산테크윈,무역 사무직 모집,무역 사무원,무관,관계없음,상용직,월급 / 270만원 ,경기 시흥시거모동 509-3번지,,(근무시간) (오전) 9시 00분 ~ (오후) 6시 00분,주5일근무,40,마감일 (2026-09-21),   ,이력서 자기소개서  ,031-496-1917,"gaskets,ptfe,expansion joint외","-해외 영문 작성
-통관 등 무역 업무
-국내 업체 거래 명세 표 작성 월 마감 업무 
-전화 응답 대응
주의: 영어 회화 가능 자, 영문 작문 및 번역 가능 자",퇴직금,고용보험 산재보험 건강보험 국민연금,2026-07-22,,6.5,5.0,20.0,7.4,20.0,4.0,62.9,C
H954202607220413,(주)케이티팝스,[반월동] 신동탄SK뷰파크 미화원 구인 1명,"건물 청소원(공공건물,아파트,사무실,병원,상가,공장 등)",무관,관계없음,계약직(시간제),월급 / 175만원 ,경기 화성시아파트 미화,,근무시간: 월~금  09:00~16:00 (휴게1시간)  / 토요일 09:00 ~ 12:00,주6일근무,33,마감일 (2026-09-21),방문 기타  ,기타   ,031-231-7801,안녕하세요 저희 주식회사 케이티팝스 시큐리티는 보안 및 경비업무를 주 업으로 하는 회사로서 2008년 11월에 설립하여 2010년 2월 수원으로 이전 확장하면서 더 높게 비상하기 위해 훌륭하고 능력있는 젊은 인재를 구합니다.당사와 함께 큰 꿈을 이루고자 하시는 모든 분은 과감하게 문을 두드려 주시길 바랍니다.,"▣ 면접 신청 031 5189 4554
▣ 업무내용 : 아파트 공용부분 청소 
▣ 근무시간 :주6일 9:00 - 16:00 /토 9:00 - 12:00
▣ 임      금 :  급여: 1,749,240원 
▣ 근       무 :  경기도 병점구 동탄원천로 382-37, 반월동 에스케이뷰1차",해당없음,고용보험 산재보험 건강보험 국민연금,2026-07-22,,6.5,9.2,20.0,6.2,20.0,7.0,68.9,C
H954202607221032,정우식품(주),[포천] 전기기사 채용 (공무팀 / 연봉협의 / 경력2년↑)  ,공장 전기관리원,경력,관계없음,상용직,최소연봉 / 4500만원 ,경기 포천시,,(근무시간) (오전) 8시 00분 ~ (오후) 5시 00분,주5일근무,40,마감일 (2026-09-21),방문 고용24 입사지원  ,이력서 자기소개서 경력증명서 ,031-828-0922,계육가공 및 판매,"농업회사법인 정우식품(주)은 신선한 닭고기를 생산하여
국내 대기업 납품 및 해외(베트남) 수출을 진행하는 식품 제조 기업입니다.

안정적인 생산 기반을 갖춘 기업으로,
공무팀에서 함께 근무할 전기기사님을 모집합니다.

■ 담당업무

☆생산현장 기계 및 설비 유지보수
☆사업장 내 전기시설 점검 및 유지관리
☆사업장 부지 내 시설물 유지보수
☆전기 안전관리 및 예방 점검

■ 자격요건

☆전기기사 자격증 필수
☆전기기사 자격 취득 후 한국전기기술인협회에 등록 후 경력이 2년 이상인 자(필수)
☆(계약전력 3,750kW 사업장 선임 기준 충족자)
☆관련 경력 2년 이상
☆소방시설 관리

■ 우대사항

☆식품 및 제조업 공장 설비 경험자
☆공무팀 근무 경험자
☆컴퓨터 활용 가능자
☆인근 거주자
☆운전 가능자
☆지게차 자격증 소지자
☆자차 출퇴근 가능자",퇴직연금,고용보험 산재보험 건강보험 국민연금,2026-07-22,,14.5,5.0,20.0,7.4,20.0,7.0,73.9,B
H954202607221194,(주)더플레이그라운드,(주)더플레이그라운드 AS 및 CS 부분 모집합니다.,고객 상담원(A/S·고장·제품사용),신입,관계없음,상용직,최소연봉 / 2800만원 ,경기 성남시,,(근무시간) (오전) 9시 00분 ~ (오후) 6시 00분,주5일근무,40,마감일 (2026-09-21),고용24 입사지원   ,이력서 자기소개서  ,031-739-4990,완구도소매업,"ㆍ킥보드 수리 및 관리
ㆍ고객상담 및 문의
ㆍ온라인몰 게시판 관리
ㆍ기타 고객관리 업무",퇴직금,고용보험 산재보험 건강보험 국민연금,2026-07-22,,8.0,5.0,20.0,7.4,20.0,7.0,67.4,C
H954202607230480,위진방문요양센터,［계양구］3등급 여자어르신 요양보호사 모십니다.,재가 간병인,경력,관계없음,상용직(시간제),시급 / 10320원 ,인천 계양구계산시장길 25,,"［계양구］재가요양보호사 채용 
근무시간 주6일 월~토
08:30~11:30 (시간조정가",주6일근무,18,마감일 (2026-09-21),방문 고용24 입사지원 기타 ,이력서 기타  ,032-540-2076,재가요양 방문요양 방문목욕,"［계양구］재가요양보호사 채용 

* 근무시간 : 08:30~11:30 (주6일- 시간조정가능)
* 3등급 여자어르신 케어.
* 음식잘하시는분
* 시급 13,000원(주휴수당, 연차수당 포함)",퇴직금,고용보험 산재보험 건강보험 국민연금,2026-07-23,,5.0,5.0,18.0,7.4,20.0,7.0,62.4,C
H954202607221112,대아산업(주),건물 미화원 구합니다.,"건물 청소원(공공건물,아파트,사무실,병원,상가,공장 등)",무관,관계없음,계약직(시간제),월급 / 80만원 ,인천 남동구,,"평일 08:00~10:18
토요일 08:00~10:30",주6일근무,14,마감일 (2026-09-21),팩스   ,이력서   ,032-540-5822,"건물관리,경비,청소,소독","건물 청소
평일 08:00~10:18
토요일 08:00~10:30",퇴직연금,고용보험 산재보험 건강보험 국민연금,2026-07-22,,5.0,5.0,20.0,7.4,20.0,7.0,64.4,C
H954202607230084,베스트단조,용접및 현장 보조원,용접 사상원 및 보조원,무관,관계없음,상용직,월급 / 250만원 - 면접 후 협의가능 ,경기 포천시베스트단조,,(근무시간) (오전) 8시 00분 ~ (오후) 5시 00분,주5일근무,40,마감일 (2026-09-21),방문 고용24 입사지원  ,이력서 자기소개서 경력증명서 ,031-828-0924,"대문,난간,휀스 제작","용접
현장보조",퇴직금,고용보험 산재보험 건강보험 국민연금,2026-07-23,,5.0,5.0,20.0,7.4,20.0,7.0,64.4,C
H954202607221329,(주)가족사랑,3등급 남자어르신댁 요양보호사 모십니다,재가 간병인,신입,관계없음,상용직(시간제),시급 / 10320원 ,경기 구리시,,(근무시간) (오전) 9시 00분 ~ (정오) 12시 00분,주5일근무,15,마감일 (2026-09-21),방문 고용24 입사지원 기타 ,이력서 기타  ,031-560-5834,재가요양보호,"3등급 남자어르신 케어

기저귀케어,  화장실이동, 휠체어 산책 등 일상생활 지원
월~금(주5일)

09:00 - 12:00 
시급 13,000원(기본시급 10,320+ 주휴수당+ 연차 + 보존수당)",퇴직금,고용보험 산재보험 건강보험 국민연금,2026-07-22,,6.5,5.0,18.0,7.4,20.0,7.0,63.9,C
H954202607230057,서광노인가정방문요양센터,요양보호사 모집(채용)_수원시 권선구 서둔동 200-8 파인캐슬 (서둔교회근처),재가 간병인,경력,관계없음,상용직(시간제),시급 / 10320원 ,경기 수원시,,(근무시간) (오전) 9시 00분 ~ (정오) 12시 00분,주5일근무,15,마감일 (2026-09-21),방문 우편 팩스 고용24 입사지원,이력서 기타  ,031-231-7906,"방문요양,방문목욕,복지용구","재가에서 성실하게 일하실 요양보호사를 채용합니다    
1. 근무지(재가 어르신댁) 및 대상자, 근무시간    
    - 월~금 09:00~12:00(3시간), 4등급 80세 여자 어르신
    -  수원시 권선구 서둔동 200-8 파인캐슬 (서둔교회근처)
2. 채용방법 : 서류검토후 센타원장 직접면접 채용    
3. 제출서류 : 요양보호사자격증사본 1통,건강진단서(채용) 1통
                 FAX(031-291-1650)로 제출    
4. 시급: 13,000원(주휴+연차 수당 포함)",퇴직금,고용보험 산재보험 건강보험 국민연금,2026-07-23,,10.0,5.0,18.0,7.4,20.0,7.0,67.4,C
H954202607220781,매화요양원,미추홀구 숭의동 더비다요양원에서 요양보호사 선생님을 모집합니다!,간병인(재가 제외),경력,관계없음,상용직,월급 / 220만원 ,인천 미추홀구,,"주주야야비비의 2교대 근무형태 입니다

주간 : 09:00 ~ 18:00 휴게시간(12시~13",주5일근무,40,마감일 (2026-09-21),고용24 입사지원   ,이력서   ,032-460-4940,서비스업,"요양원에서 어르신들을 정성껏 케어해 주실 분을 보십니다
(주주야야비비 2교대 근무형태)
(주간담당도 상담 후 가능함)",퇴직연금,고용보험 산재보험 건강보험 국민연금,2026-07-22,,6.5,5.0,20.0,7.4,20.0,7.0,65.9,C
H954202607230423,(주)경기그린환경,힐스테이트 동탄더테라스 미화원 구인,"건물 청소원(공공건물,아파트,사무실,병원,상가,공장 등)",무관,관계없음,계약직(시간제),월급 / 189만원 ,경기 화성시힐스테이트 동탄 더 테라스,,· 실내미화원  07:30~15:30(일7시간),주5일근무,35,마감일 (2026-09-21),방문 기타  ,이력서   ,031-892-0242,아파트청소용역 및 저수조청소,"[ 화성 오산동 힐스테이트 동탄더테라스 미화원 구인 ]

◆내부 미화 1명 - 시간 :  평일 07시 30분 ~ 15시 30분 (일7시간)
◆급여 : 월 1,888,560원
◆ 근무장소 : 화성시 동탄구 동부대로 933(오산동)",퇴직연금,고용보험 산재보험 건강보험 국민연금,2026-07-23,,5.0,5.0,20.0,7.4,20.0,7.0,64.4,C
H954202607230289,하늘노인복지센터,방문요양보호사 모집,간병인(재가 제외),무관,관계없음,상용직(시간제),시급 / 10320원 ,경기 화성시하늘노인주간보호센터,,(근무시간) (오전) 9시 00분 ~ (정오) 12시 00분,주5일근무,15,마감일 (2026-09-21),방문   ,이력서   ,031-290-0822,"노인주간보호, 방문요양, 방문목욕","방문요양보호사 모집

대상자 : 어르신1명 (4등급, 84세, 여자, 일상생활가능)


근무지 : 화성시 송산동 신현대아파트 1차 (병점육교 에서 안녕동 방향)
            
시급:10,320+2,680(기타수당)=13,000원

업무 : 어르신케어, 가사도움, 말벗 등",퇴직연금,고용보험 산재보험 건강보험 국민연금,2026-07-23,,6.5,5.0,18.0,7.4,20.0,7.0,63.9,C
H954202607220982,올바른한의원,올바른 한의원에서  간호조무사 모집합니다. (이력서 사진 첨부 有),간호조무사,무관,관계없음,상용직,월급 / 210만원 ,인천 미추홀구,,(근무시간) (오전) 9시 00분 ~ (오후) 5시 30분,주6일근무,40,마감일 (2026-09-21),팩스   ,이력서 자기소개서  ,032-460-4940,한의원,"1. 간호조무사 자격증 소지자
 

   
[상세요강]
1. 기타 자세한 근무일정 및 급여에 관한 사항은 면접시 문의해주세요
2. IM / IV 안합니다. / 탕전업무 없습니다.

  주로 환자 치료 및 진료 지원업무로 성실과 건강을 겸비하신 분이면 누구나 가능합니다. 많은 지원 바랍니다^^

3. 이력서 사진 첨부 有  

4.  평일 :09:00~17:30   (점심시간 12:30~14:00)

    평일: 09:00~19:00   (주 1회)

    토요일 ,일요일  : 09시~12시 (점심시간없음)

    평일 나이트 : 17:00~ 익일 오전 09:00 / OFF

    토요일 나이트 : 12:00~ 익일 12시:00",퇴직금,고용보험 산재보험 건강보험 국민연금,2026-07-22,,13.0,5.0,20.0,7.4,20.0,7.0,72.4,B
H954202607221249,최고야 방문요양센터,[교대역 인근/4등급 여자어르신/13:00~18:00] 주5일 요양보호사,요양 보호사 및 간병인,무관,관계없음,상용직(시간제),시급 / 10320원 ,서울 서초구,,(근무시간) (오후) 1시 00분 ~ (오후) 6시 00분,주5일근무,5,마감일 (2026-09-21),방문 기타  ,기타   ,02-2147-3684,방문요양서비스,"- 대상자 : 교대역 인근  4등급 여자어르신 90대초반
- 직무 내용 : 일상생활지원, 점심식사준비
- 근무시간 13:00~18:00  주5일 
- 시급 10,320원 +  기타 수당

* 지원 문의 : 전화(010-9811-9828)",퇴직금,고용보험 산재보험  ,2026-07-22,,6.5,5.0,18.0,7.4,20.0,7.0,63.9,C
H954202607221122,아이헤이트플라잉버그스(주),[비대면 온라인 온택트 수업] 영어선생님 구인,국어 강사,무관,관계없음,상용직,최소연봉 / 3600만원 ,서울 영등포구파크원 타워1 39층,,"- 월-목: 14:00~23:00(휴게시간 : 17:30~18:30)
- 금: 10:30~19:30(휴게시간 : 13:30~14:30)",주5일근무,40,마감일 (2026-09-21),고용24 입사지원   ,이력서   ,02-2639-2303,"비대면 영어 교육 서비스, 밀당영어","1. 직무 소개
영어 온택트 선생님은 학생별 맞춤 커리큘럼을 제공하고, 질의응답을 주고받으며 학생의 공부 습관과 의지를 만듭니다. 학생의 학습 페이스를 조절하며, 장기적으로는 학생이 학습 목표를 달성할 수 있도록 돕습니다. 그렇기에 온택트 선생님은 단순히 강의만 제공하는 사람이 아니라, 소통을 통해 학생의 역량을 끌어올리고 올바른 공부 습관을 만들어 주는 길잡이입니다.

학생과의 깊은 유대감을 바탕으로 매일의 학습을 끝까지 해낼 수 있도록 하는 것은 기술이 대신하지 못하는 영역입니다. 우리는 이 영역이 디지털 교육의 핵심이라고 생각합니다. 온택트 선생님은 우리의 서비스를 완성하고 ‘질 높은 교육 기회의 평등’을 가능하게 만드는 아이헤이트플라잉버그스의 주요 직무입니다.


2. 주요 업무
-자체 개발 시스템으로 학습 진행 상황 모니터링 및 메신저로 학생들과 소통
-실시간 질의응답 및 코칭을 통해 학생들이 일일 학습을 완수할 수 있도록 지도
-학생들이 사용할 학습 콘텐츠를 수준에 맞게 선별해 커리큘럼 구성 및 제공
-학습 스케줄링, 주간 수업 리포팅을 통해 학생의 학습 전반을 관리


3. 자격 요건
-대학교 졸업자 혹은 졸업 예정자
-신입, 경력 모두 지원 가능
-효과적인 티칭을 위해 영어 학습법을 탐구해본 분
-영어에 흥미가 있고 가르치는 것을 좋아하는 분
-학생들과 원활한 커뮤니케이션이 가능한 분


4. 우대 사항
-일정 수준 이상의 공인영어능력 평가 성적을 보유한 분
-영어 강의 혹은 교육 콘텐츠를 기획하고 제작한 경험이 있는 분
-영어 임용시험 1차 합격 이상 또는 TESOL 자격이 있는 분
-중, 고등학교 영어 문법을 명확히 알고 설명하실 수 있는 분
-에듀테크 스타트업 경험이 있는 분


5. 근무 조건
-월-목: 14:00~23:00, 금: 10:30~19:30 근무합니다.
-온택트 선생님은 학생의 공부 시간에 맞춰 근무합니다.
-서울특별시 영등포구 여의대로108 파크원 타워1 38층-39층에서 근무합니다.
-계약직 3개월 근무 후, 평가에 따라 정규직 전환 여부를 고려합니다.
- 연봉 外 + @(매월, 분기, 반기 별 미션에 따른 인센티브 지급)

6. 합류 여정
서류 전형 → TEST & 인터뷰 → 최종 합격
범죄전력 등의 결격사유 발생 시, 합격이 취소될 수 있습니다.


7. 채용 공고 참고
https://careers.mildang.kr/ko/o/9864


8 참고
저희 회사와 온택트 선생님 직무에 대해 더 알아보실 수 있도록 아래 링크들을 준비해두었습니다.
   □ 밀당PT 유튜브 채널 ☞ https://www.youtube.com/@mildang_pt/videos
   □ 온택트 선생님 인터뷰 ☞ https://mildangblog.oopy.io/talk_smj",퇴직금,고용보험 산재보험 건강보험 국민연금,2026-07-22,,19.0,6.2,20.0,7.4,20.0,7.0,79.6,B
H954202607221375,주식회사 남인천현대써비스,관리부 센터장 경력직 구인합니다.,기획·마케팅 사무원,경력,관계없음,상용직,월급 / 400만원 ,인천 남동구,,"평일 08:30~18:00
토요일 08:30~13:00",주6일근무,40,마감일 (2026-09-21),팩스 고용24 입사지원  ,이력서 자기소개서 경력증명서 ,032-460-4831,자동차종합써비스,"1.보험수리 AOS 청구 가능자/유경험자
2.자동차 판금&도장 현장실무 유경험자
3.회사내 조직관리 및 공장관리 유경험자",퇴직연금,고용보험 산재보험 건강보험 국민연금,2026-07-22,,6.5,5.0,20.0,7.4,20.0,7.0,65.9,C
H954202607221125,은혜방문요양센터,재가요양보호사 구인,재가 간병인,무관,관계없음,상용직(시간제),시급 / 10320원 ,경기 용인시3002동,,(근무시간) (오전) 9시 00분 ~ (정오) 12시 00분,주5일근무,15,마감일 (2026-09-21),방문 고용24 입사지원  ,이력서   ,031-289-2214,"재가노인복지시설(방문요양, 방문목욕 서비스)","3등급 여자 어르신 일상생활 지원 산책도움 ,식사준비",퇴직금,고용보험 산재보험 건강보험 국민연금,2026-07-22,,6.5,6.2,18.0,7.4,20.0,7.0,65.1,C
H954202607221131,의료법인영문의료재단,다보스병원 영양팀 조리원 채용,단체 급식 보조원,무관,관계없음,상용직,월급 / 300만원 ,경기 용인시,,"(근무시간) (오전) 5시 00분 ~ (오후) 6시 00분
(휴게시간) 오전 2시간, 오후 2시",주5일근무,40,마감일 (2026-09-21),방문 고용24 입사지원  ,이력서   ,031-289-2214,의료서비스,"- 다보스병원 내 단체급식 조리 업무
- 조리원 1명
- 근무형태 : 2일 근무 1일 휴무로 스케줄 근무",퇴직금,고용보험 산재보험 건강보험 국민연금,2026-07-22,,6.5,5.0,20.0,7.4,20.0,7.0,65.9,C
